id,name,category,code,legacy_types,axes,default_colour,look,note
akoya-pearl,Akoya Pearl,R,AK1,AK1 AK2,colour,,AK,Also the Pearl stones with the shade Akoya
tahiti-pearl,Tahiti Pearl,R,THP,THP,colour,,TH,Also the Pearl stones with the shade Tahitian
south-sea-pearl,South Sea Pearl,R,,,,,PA,The Pearl stones with the shade South Seas Pearl
mabe-pearl,Mabe Pearl,R,MAB,MAB,,,MB,
silver,Silver,M,SIL,SIL,,,SL,
stainless,Stainless Steel,M,STS,STS,colour,,ST,
wood,Wood,M,WD,WD,colour,,WO,
concrete,Concrete,M,CCT,CCT,,,CT,
ceramic,Ceramic,M,CER,CER,,,CC,
porcelain,Porcelain,M,POR,POR,,,PO,
bone,Bone,M,BON,BON,,,BO,
