legacy_type,legacy_shade,products,bare,full,forms
OLQ,,9,0.0,0.0,OLIVE.Q 60%; OLIVINE.Q 20%; OLIVEINE.Q 20%
ONY,,706,0.033,0.0,ONYX 54%; ONYX BRI 3%; MALA + ONYX 2%
ONY,BK,5,0.0,0.0,ONYX 50%; BL.ONYX 50%
ONY,WH,12,0.0,0.0,W.ONYX 38%; W_ONYX 38%; BUFF W.ONYX 12%
OP,A,40,0.0,0.025,OPAL V 29%; WOPAL 29%; OPAL 29%
OP,AAA,26,0.0,0.0,OPALAAA 40%; W.OPAL 20%; W_OPAL 20%
OP,AAAA,1,0.0,0.0,OPALAAAA 100%
OP,BK,3,0.0,0.0,B.OPAL3A 50%; BLK OPAL 50%
OP,C,1,0.0,0.0,
OP,OR,7,0.0,0.0,
OP,PK,237,0.025,0.0,P.OPAL 46%; P.OP 14%; P.OPA 11%
OP,WH,19,0.0,0.0,W.OPA 100%
PAR,,12,0.417,0.0,BL.ZIR + PARA 33%; P.TOUR 33%; PARAIBA 33%
PER,,4858,0.865,0.0,PER 73%; PER BRI 4%; PE 2%
PER,A,1,1.0,0.0,PER 100%
PER,AAA,13,0.615,0.077,PER 100%
PER,SP,2,1.0,0.0,
POR,WH,6,0.0,0.0,W.PORCELAIN 100%
PQA,,1720,0.614,0.0,PQ 24%; P.Q 17%; P.Q BRI 9%
PQA,2,1,0.0,0.0,GOOD P.Q BRI 100%
PQA,A,1,0.0,0.0,
PQA,CDY,123,0.163,0.0,PQ_CLOUDY 22%; PQ CLOUDY 17%; P.Q CLOUDY 8%
PQA,ML,5,0.8,0.0,
PQA,PK,3,0.0,0.0,P.Q BIR 100%
PQA,SR,4,0.0,0.0,ST.PQ 100%
PR1,,62,0.0,0.0,W.PEARL 36%; G.PEARL 15%; AAQUOTATION 6%
PR1,AK,7,0.0,0.0,
PR1,WH,12,0.0,0.0,PRL + ENAM 67%; DTS 1 + FWP 33%
PR2,,6,0.0,0.0,
PR2,BK,1,0.0,0.0,
PR2,GY,2,0.0,0.0,
PR2,PK,35,0.0,0.0,AM + RDF + LIO + RH 100%
PR2,WH,44,0.0,0.0,W5PEARL 25%; W_PEARL 25%; W_PEARL + SCDTS 25%
PR2,YM,4,0.0,0.0,
PREH,,313,0.393,0.0,PREHNITE 26%; PRE 23%; PREH 8%
PREH,A,21,0.19,0.0,L_PREHNITE 29%; LPREHNITE 14%; LPRE 14%
PREH,BL,1,1.0,0.0,
PREH,GR,1,1.0,0.0,
PREH,ML,48,0.104,0.0,PREHNI 21%; PRE 14%; PRE MILKY 14%
PRL,,495,0.006,0.0,W.PEARL 38%; G.PEARL 20%; P.PEARL 5%
PRL,AK,9,0.0,0.0,AKOYA 67%; CT4A + W.PRL 33%
PRL,BK,38,0.026,0.0,B.PEARL 53%; BL.PEARL 20%; BK_PRL 7%
PRL,BR,9,0.0,0.0,BROWN P. 33%; BR_PEARL 33%; TTLB + BR.PEARL 33%
PRL,CH,2,0.0,0.0,CHOCO_PRL 50%; CHOC.P 50%
PRL,CHP,5,0.0,0.0,
PRL,GY,80,0.013,0.0,G.PEARL 38%; GREY PRL 16%; G_PEARL 12%
PRL,OR,1,0.0,0.0,
PRL,PK,846,0.009,0.0,P.PEARL 51%; P.PRL 16%; P_PEARL 10%
PRL,TAH,14,0.0,0.0,TAHITI 33%; BK_TAHI_PRL 17%; TAHITIAN 17%
PRL,WH,1390,0.024,0.0,W.PEARL 34%; W.PRL 7%; FWP 5%
PRL,YM,23,0.043,0.0,
